the-meaning-of-life-1983,1983,comedy
monty-pythons-flying-circus-live-at-aspen,1998,comedy
monty-python-live-at-the-hollywood-bowl,1982,comedy
monty-python-parrot-sketch-not-included,1989,comedy
not-the-messiah-hes-a-very-naughty-boy,2010,comedy music history
moonrise-kingdom,2012,drama romance comedy
the-mothman-prophecies,2002,horror drama mystery
moulin-rouge-2001,2001,romance drama
mr-hollands-opus,1995,family drama music
mr-nobody,2009,drama fantasy romance science-fiction
mrs-doubtfire,1993,family drama comedy
mrs-miniver,1942,drama war romance
mulholland-drive,2001,mystery drama thriller
the-mummy-1999,1999,adventure action fantasy
munich,2005,action thriller history drama
the-muppet-christmas-carol,1992,comedy fantasy family music drama
muppets-from-space,1999,family comedy science-fiction fantasy
murder-by-death,1976,comedy mystery crime thriller
music-of-the-heart,1999,drama
mutiny-on-the-bounty,1935,adventure drama history
my-best-friends-wedding,1997,comedy romance
my-big-fat-greek-wedding,2002,comedy drama romance
my-fair-lady,1964,romance drama
my-girl,1991,comedy drama
my-girl-2,1994,comedy family
mystic-river,2003,crime thriller mystery drama
napoleon-dynamite,2004,comedy
never-been-kissed,1999,romance drama comedy
the-neverending-story,1984,adventure drama fantasy family
night-of-the-living-dead,1968,horror
no-country-for-old-men,2007,thriller drama crime
north-by-northwest,1959,mystery thriller
nosferatu,1922,fantasy drama horror
the-phantom-of-the-opera,1925,horror drama
the-notebook,2004,romance drama
notting-hill,1999,drama romance comedy
because-i-said-so,2007,comedy romance
definitely-maybe,2008,romance comedy
love-actually,2003,drama romance comedy
o-brother-where-art-thou,2000,action comedy adventure
oceans-eleven,1960,thriller music crime comedy
october-sky,1999,drama family
office-space,1999,comedy
old-school,2003,comedy
one-flew-over-the-cuckoos-nest,1975,drama
on-the-road,2012,drama adventure
on-the-waterfront,1954,drama crime
open-water,2003,horror thriller drama
original-sin,2001,thriller
the-other-boleyn-girl,2008,drama romance
the-others,2001,mystery horror drama thriller
the-outlaw-josey-wales,1976,western action adventure
overboard,1987,comedy romance
pans-labyrinth,2006,war drama fantasy
paprika-2006,2006,mystery thriller drama science-fiction animation
paradise-now,2005,crime drama thriller
parenthood,1989,comedy family drama
housesitter,1992,romance comedy
the-parent-trap-1998,1998,comedy family
the-party,1968,comedy
pat-garrett-billy-the-kid,1973,western
a-charlie-brown-christmas,1965,tv-movie animation comedy family
a-charlie-brown-thanksgiving,1973,tv-movie family animation comedy
its-the-great-pumpkin-charlie-brown,1966,tv-movie animation family
pearl-harbor,2001,romance drama history war
the-perfect-storm,2000,drama
carlton-browne-of-the-fo,1959,comedy
heavens-above,1963,comedy
im-all-right-jack,1959,comedy
the-smallest-show-on-earth,1957,comedy
two-way-stretch,1960,action comedy crime
the-phantom-of-the-opera-2004,2004,drama thriller romance
pineapple-express,2008,action comedy
the-pink-panther-1963,1963,comedy crime
pirates-of-the-caribbean-at-worlds-end,2007,action adventure fantasy
pirates-of-the-caribbean-dead-mans-chest,2006,adventure action fantasy
pirates-of-the-caribbean-on-stranger-tides,2011,adventure fantasy action
pirates-of-the-caribbean-the-curse-of-the-black-pearl,2003,fantasy action adventure
planes-trains-and-automobiles,1987,comedy
planet-of-the-apes,1968,drama adventure action science-fiction
pleasantville,1998,drama comedy fantasy
the-postman-always-rings-twice,1946,thriller crime drama
practical-magic,1998,fantasy comedy romance
predestination,2014,thriller science-fiction
the-prestige,2006,thriller mystery drama
pretty-woman,1990,romance comedy
pride-prejudice,2005,drama romance
the-pride-of-palomar,1922,drama
the-princess-bride,1987,family adventure comedy romance fantasy
the-princess-diaries,2001,romance comedy family
the-princess-diaries-2-royal-engagement,2004,drama comedy romance family
the-producers,1967,comedy
proof-2005,2005,mystery drama
psycho,1960,thriller horror drama
pulp-fiction,1994,thriller crime
the-pursuit-of-happyness,2006,drama
rain-man,1988,drama
rango,2011,animation comedy family western adventure
ray-2004,2004,music drama
rear-window,1954,mystery thriller drama
remember-the-titans,2000,drama
rendition,2007,thriller drama
rent,2005,drama romance
requiem-for-a-dream,2000,drama crime
pi,1998,drama thriller mystery
reservoir-dogs,1992,thriller crime
the-return-of-the-pink-panther,1975,mystery crime comedy
revolutionary-road,2008,drama romance
the-right-stuff,1983,history drama
robin-and-the-7-hoods,1964,comedy crime adventure music
rocketman,1997,comedy family science-fiction
rocky,1976,drama
role-models,2008,comedy
romeo-juliet-1996,1996,drama romance
the-royal-tenenbaums,2001,drama comedy
ruby-sparks,2012,comedy drama romance fantasy
rudolph-the-red-nosed-reindeer,1964,tv-movie animation family
runaway-bride,1999,romance comedy
runaway-jury,2003,drama thriller
rushmore,1998,drama comedy
the-savages,2007,drama
save-the-last-dance,2001,drama family romance music
saw,2004,horror mystery crime
saw-ii,2005,horror
saw-iii,2006,thriller crime horror
scarface-1983,1983,action drama crime thriller
scary-movie-2000,2000,comedy
scary-movie-2,2001,comedy
schoolhouse-rock-special-30th-anniversary-edition,2002,music animation family
schoolhouse-rock-earth-2009-1,2009,
school-of-rock,2003,comedy music
seabiscuit,2003,history drama
the-secret-life-of-walter-mitty-2013,2013,drama comedy adventure fantasy
seeking-a-friend-for-the-end-of-the-world,2012,science-fiction romance drama comedy
selena,1997,music drama
semi-pro,2008,comedy
serendipity,2001,drama romance comedy
serial-mom,1994,crime comedy
nurse-betty,2000,thriller crime comedy
very-bad-things,1998,crime comedy thriller
your-friends-neighbors,1998,drama comedy
a-serious-man,2009,comedy drama
se7en,1995,crime mystery thriller
shakespeare-in-love,1998,romance history comedy
shallow-hal,2001,comedy romance
shanghai-noon,2000,western adventure action comedy
shaun-of-the-dead,2004,horror comedy
the-shawshank-redemption,1994,drama crime
a-shot-in-the-dark,1964,comedy mystery crime
shrek,2001,family adventure fantasy comedy animation
shutter-island,2010,drama mystery thriller
sicko,2007,documentary
sideways,2004,romance drama comedy
signs,2002,thriller drama mystery science-fiction
the-silence-of-the-lambs,1991,drama thriller crime horror
silver-linings-playbook,2012,comedy romance drama
sister-act,1992,music comedy
sister-act-2-back-in-the-habit,1993,music comedy
sixteen-candles,1984,romance comedy
the-sixth-sense,1999,thriller drama mystery
skyfall,2012,adventure thriller action
sleeper,1973,comedy science-fiction romance
sleepless-in-seattle,1993,comedy romance drama
slumdog-millionaire,2008,romance drama
some-like-it-hot,1959,romance comedy
the-sound-of-music,1965,music drama romance family
south-park-bigger-longer-uncut,1999,animation comedy music
soylent-green,1973,science-fiction
spaceballs,1987,science-fiction comedy
space-jam,1996,animation comedy family
spanglish,2004,comedy
spartacus,1960,history drama action adventure
spider-man,2002,fantasy action
spider-man-2,2004,adventure action fantasy
spies-like-us,1985,adventure comedy
spotlight,2015,thriller drama history
the-squid-and-the-whale,2005,comedy drama
stardust-memories,1980,comedy drama romance
