angry-video-game-nerd-the-movie,kevin-finn james-d-rolfe-1,james-d-rolfe-1 jeremy-suarez sarah-glendening stephen-mendel helena-barrett time-winters nathan-barnatt bear-mccreary kyle-mac doug-walker-2 robbie-rist lloyd-kaufman jessica-rockwell david-dastmalchian milynn-sarley robert-dunne asterios-kokkinos-3 robb-stech
animal-house,john-landis,john-belushi tim-matheson john-vernon-1 verna-bloom tom-hulce cesare-danova peter-riegert mary-louise-weller stephen-furst james-widdoes bruce-mcgill mark-metcalf dewayne-jessie karen-allen james-daughton martha-smith sarah-holcomb lisa-baur kevin-bacon donald-sutherland douglas-kenney chris-miller bruce-bonnheim joshua-daniel sunny-johnson stacy-grooman eliza-roberts aseneth-jurgenson katherine-denning raymone-robinson robert-elliott-1 reginald-farmer jebidiah-r-dumas priscilla-lauris rick-eby john-freeman sean-mccartin helen-vick rick-greenough stephen-bishop-1 john-landis
annie-hall,woody-allen,woody-allen diane-keaton tony-roberts carol-kane paul-simon shelley-duvall janet-margolin colleen-dewhurst christopher-walken donald-symington russell-horton dick-cavett marshall-mcluhan beverly-dangelo tracey-walter sigourney-weaver laurie-bird mark-lenard john-glover john-dennis-johnston jim-mckrell paula-trueman shelley-hack jeff-goldblum gary-mule-deer walter-bernstein hy-anzell mordecai-lawner joan-neuman jonathan-munk helen-ludlam ruth-volner martin-rosenblatt rashel-novikoff humphrey-davis veronica-radburn wendy-girard mary-boylan christine-jones john-doumanian chris-gampel dan-ruskin ved-bandhu johnny-haymer bernie-styles truman-capote jan-citron gregory-doucette harrison-ressler billie-perkins kathryn-janssen juliet-graham william-callaway roger-newman alan-landers jean-sarah-frost robin-mary-paris charles-levin wayne-carson michael-karm petronia-johnson shaun-casey lou-picetti loretta-tupper james-burge albert-m-ottenheimer gary-allen sybil-bowan margaretta-warwick lucy-lee-flippin
annihilation,alex-garland,natalie-portman jennifer-jason-leigh gina-rodriguez tessa-thompson tuva-novotny oscar-isaac-1 benedict-wong sonoya-mizuno david-gyasi john-schwab sammy-hayman josh-danford kristen-mcgarrity bern-collaco kumud-pant honey-holmes hiten-patel kola-bokinni odette-michell miroslav-zaruba cosmo-jarvis daniel-prewitt
antonio-gaudi,hiroshi-teshigahara,isidro-puig-boada seiji-miyaguchi
anywhere-but-here,wayne-wang,susan-sarandon natalie-portman hart-bochner eileen-ryan ray-baker john-diehl shawn-hatosy bonnie-bedelia faran-tahir-1 shishir-kurup elisabeth-moss john-carroll-lynch caroline-aaron paul-guilfoyle-1 thora-birch megan-mullally mary-ellen-trainor ashley-johnson-1 corbin-allred eva-amurri-martino-2
apocalypse-now,francis-ford-coppola,marlon-brando robert-duvall martin-sheen frederic-forrest albert-hall sam-bottoms laurence-fishburne dennis-hopper g-d-spradlin harrison-ford jerry-ziesmer scott-glenn james-keane-1 kerry-rossall tom-mason cynthia-wood colleen-camp linda-carpenter jack-thibeau glenn-walken-1 damien-leake marc-coppola bill-graham jerry-ross-2 charles-robinson nick-nicholson don-gordon-bell evan-a-lottman r-lee-ermey jim-gaines charlie-sheen vittorio-storaro francis-ford-coppola henry-strzalkowski lonnie-woodley aurore-clement
apollo-13,ron-howard,tom-hanks bill-paxton kevin-bacon gary-sinise ed-harris kathleen-quinlan mary-kate-schellhardt emily-ann-lloyd miko-hughes max-elliott-slade jean-speegle-howard tracy-reiner david-andrews michele-little chris-ellis joe-spano xander-berkeley roger-corman andrew-lipschultz mark-wheeler endre-hules clint-howard christian-clemenson brett-cullen thom-barry gabriel-jarret jim-lovell neil-armstrong-2 jules-bergman marc-mcclure ben-marley loren-dean tom-wood-4 googy-gress patrick-mickler ray-mckinnon max-grodenchik ned-vaughn andy-milder geoffrey-blake wayne-duvall jim-meskimen joseph-culp john-short ben-bode todd-louiso christopher-john-fields kenneth-white james-ritz karen-martin maureen-hanley meadow-williams walter-von-huene brian-markinson steve-rankin austin-obrien louisa-marie arthur-senzy carl-gabriel-yorke ryan-holihan rance-howard jane-jenkins-1 todd-hallowell matthew-michael-goodall taylor-goodall misty-dickinson lee-anne-matusek mark-d-newman mark-mckeel patty-raya jack-conley jeffrey-kluger bruce-wright ivan-allen jon-bruno reed-rudy steve-bernie steve-ruge herbert-jefferson-jr-1 john-dullaghan john-wheeler-1 paul-mantee julie-rowen thomas-crawford frank-cavestani john-m-mathews pope-paul-vi
argo,ben-affleck,ben-affleck alan-arkin bryan-cranston john-goodman scoot-mcnairy tate-donovan christopher-denham kerry-bishe clea-duvall victor-garber rory-cochrane kyle-chandler chris-messina zeljko-ivanek titus-welliver richard-kind taylor-schilling keith-szarabajka bob-gunton page-leong omid-abtahi sheila-vand karina-logue ryan-ahern bill-tangradi-1 jamie-mcshane roberto-garcia christopher-stanley jon-woodward-kirby victor-mccay matt-nolan jr-cacia bill-kalmenson rob-brownstein david-sullivan john-boyd yuriy-sardarov nikka-far aidan-sussman barry-livingston ali-saam araz-vahid-ebrahim-nia scott-anthony-leet michael-parks mehrdad-sarlak ray-haratian matthew-glave-1 nancy-stelle mark-rhino-smith-1 richard-dillane farshad-farahat alborz-basiratmand ruty-rutenberg michael-woolston sharareh-sedghi bobby-zegar ray-porter allegra-carpenter adrienne-barbeau houshang-touzie richard-allan-jones tim-quill
armageddon,michael-bay,bruce-willis billy-bob-thornton ben-affleck liv-tyler will-patton steve-buscemi william-fichtner michael-clarke-duncan peter-stormare owen-wilson ken-hudson-campbell jessica-steen chris-ellis keith-david jason-isaacs marshall-r-teague j-patrick-mccormack ian-quinn charlton-heston eddie-griffin sage-allen-1 grace-zabriskie grayson-mccouch clark-heathcliffe-brolly greg-collins john-mahon kc-leomiti stanley-anderson james-harper-1 harry-humphries-1 ellen-cleghorne-1 udo-kier anthony-guidera dyllan-christopher judith-hoag deborah-nishimura albert-wong jim-ishida-1 john-aylward mark-curry seiko-matsuda steven-ford christian-clemenson shawnee-smith bodhi-elfman dina-morrone patrick-lander brian-mulligan patrick-richwood frank-van-keeken googy-gress frederick-weller jeff-austin matt-malloy h-richard-greene brian-brophy peter-murnik brian-hayes-currie andy-milder michael-kaplan duke-valenti michael-taliferro billy-devlin michele-edison michael-bay mary-ann-schmidt judi-beecher
