the-sixth-sense,m-night-shyamalan,bruce-willis haley-joel-osment toni-collette olivia-williams donnie-wahlberg glenn-fitzgerald mischa-barton trevor-morgan bruce-norris angelica-page greg-wood m-night-shyamalan peter-anthony-tambakis jeffrey-zubernis lisa-summerour samia-shoaib janis-dardaris sarah-ripard kadee-strickland kate-kearney-patch nico-woulard keith-woulard patrick-mcdade jose-l-rodriguez firdous-bamji hayden-saunier neill-hartley heidi-fischer-1 michael-j-lyons samantha-fitzpatrick holly-cross-vagley marilyn-shanok carol-nielson jodi-dawson-1 tony-michael-donnelly ronnie-lea carlos-xavier-lopez gino-inverso ellen-sheppard tom-mclaughlin-2 candy-aston-dennis gina-allegro bob-bowersox luke-burnyeat matt-casale kym-cohen colleen-june-mcquaide jonathan-nation sean-oliver alison-robertson
skyfall,sam-mendes,daniel-craig judi-dench javier-bardem ralph-fiennes naomie-harris berenice-marlohe albert-finney ben-whishaw rory-kinnear ola-rapace helen-mccrory nicholas-woodeson bill-buckhurst elize-du-toit ian-bonar tonia-sotiropoulou wolf-blitzer jens-hulten anthony-odonnell-1 jo-cameron-brown peter-basham ben-loyd-holmes orion-lee yennis-cheung lee-nicholas-harris dave-wong-1 burt-caesar vander-mcleod steve-barnett-2
sleeper,woody-allen,woody-allen diane-keaton john-beck mary-gregory brian-avery don-keefer mews-small peter-hobbs spencer-milligan john-mcliam bartlett-robinson chris-forbes-1 susan-miller-2 lou-picetti jessica-rains stanley-ross-1
sleepless-in-seattle,nora-ephron,tom-hanks meg-ryan bill-pullman rita-wilson victor-garber ross-malinger tom-riis-farrell carey-lowell le-clanche-du-rand kevin-omorrison david-hyde-pierce valerie-wright frances-conroy tom-tammi calvin-trillin caroline-aaron linda-wallem latanya-richardson-jackson-1 rosie-odonnell tom-mcgowan-1 steve-mellor marguerite-schertle dana-ivey brian-mcconnachie rob-reiner gaby-hoffmann matt-smith-8 amanda-maher barbara-garrick victor-morris philip-mihalski donald-j-lee-jr mary-a-kelly diane-sokolow hannah-cox rich-hawkins tamara-plank michael-badalucco jeff-mazzola philip-levy julie-janney tony-zazula john-boylan-1 robert-livingston-2 butch-stevenson sidney-armus
slumdog-millionaire,danny-boyle,dev-patel saurabh-shukla anil-kapoor rajendranath-zutshi jeneva-talwar freida-pinto irrfan-khan azharuddin-mohammed-ismail ayush-mahesh-khedekar jira-banjara sheikh-wali mahesh-manjrekar sanchita-choudhary himanshu-tyagi sharib-hashmi virendra-chatterjee feroze-khan-1 sunil-kumar-agrawal virender-kumar devesh-rawal rubina-ali ankur-vikal tiger-3 chirag-parmar nazneen-shaikh farzana-ansari anupam-shyam salim-chaus singh-shera-family harvinder-kaur narendra-singh-bhati tanay-chheda ashutosh-lobo-gajiwala satya-mudgal janet-de-vigne william-relton david-gilliam mia-drake kinder-singh christine-matovich-singh thomas-lehmkuhl siddesh-patil najma-shaikh saeeda-shaikh alka-satpute tabassum-khan tanvi-ganesh-lonkar sitaram-panchal nigel-caesar ajit-pandey kedar-thapar amit-leonard rajesh-kumar-4 sagar-ghopalkar pradeep-solanki abdul-hamid-shaikh dheeraj-waghela shruti-seth arfi-lamba taira-colah varun-bagri ankur-tewari anjum-sharma madhur-mittal sarfaraz-khan syed-fazal-hussain umar-khan-1 imran-hasnee homai-billimoria udayan-baijal sandeep-kaul rufee-ahmed rhea-lawyer deepali-dalvi anisha-nagar farrah-shaikh mamta-sharma neha-m-khatarawalla tanya-singh anand-tiwari-1 faezeh-jalali meghana-jhalani rupali-mehra anju-singh saurabh-agarwal mark-boucher andre-nel yuvraj-singh sachin-tendulkar amitabh-bachchan
some-like-it-hot,billy-wilder,marilyn-monroe tony-curtis jack-lemmon george-raft pat-obrien-1 joe-e-brown nehemiah-persoff joan-shawlee billy-gray-2 george-e-stone dave-barry-1 mike-mazurki harry-wilson beverly-wills barbara-drew edward-g-robinson-jr sam-bagley alex-ball-1 brandon-beach phil-bloom willie-bloom al-breneman steve-carruthers james-j-casino noble-chissell beulah-christian ted-christy robert-cole-1 marian-collier pat-comiskey bing-conley john-cretoria paul-cristo-1 james-dime franklyn-farnum joan-fields duke-fishman mary-foley george-ford-1 paul-frees joanne-genthon bobby-gilbert joseph-glick jack-gordon-1 joe-gray stuart-hall sam-harris-3 harold-tommy-hart william-hoehne-jr ted-hook shep-houghton john-indrisano tom-kennedy joseph-la-cava george-lake carl-m-leviness king-lockwood john-logan-2 hank-mann tiger-joe-marsh jack-mather tipp-mcclure penny-mcguiggan frank-mclure laurie-mitchell william-h-obrien colleen-osullivan-1 joe-palma helen-perry jack-perry danny-richards-jr edwin-rochelle john-roy cosmo-sardo scott-seaton sammy-shack fred-sherman carl-sklover bert-stevens arthur-tovey sid-troy ralph-volkie tito-vuolo sandra-warner-1 billy-wayne grace-lee-whitney
the-sound-of-music,robert-wise,julie-andrews christopher-plummer eleanor-parker richard-haydn charmian-carr nicholas-hammond-1 heather-menzies duane-chase-1 angela-cartwright debbie-turner kym-kareth peggy-wood-1 anna-lee portia-nelson ben-wright daniel-truhitte norma-varden marni-nixon gilchrist-stuart evadne-baker doris-lloyd ada-beth-lee doreen-tryden bert-stevens gertrude-astor frank-baker bill-lee-1 margery-mackay
south-park-bigger-longer-uncut,trey-parker,trey-parker matt-stone mary-kay-bergman isaac-hayes jesse-brant-howell anthony-cross-thomas franchesca-clifford bruce-howell deb-adair jennifer-howell george-clooney brent-spiner-1 minnie-driver dave-foley eric-idle nick-rhodes toddy-walters stewart-copeland stanley-g-sawicki chase-holt mike-judge howard-mcgillin
soylent-green,richard-fleischer,charlton-heston leigh-taylor-young chuck-connors joseph-cotten brock-peters paula-kelly edward-g-robinson stephen-young mike-henry lincoln-kilpatrick roy-jenson leonard-stone whit-bissell celia-lovsky dick-van-patten morgan-farley john-barclay belle-mitchell cyril-delevanti forest-wood faith-quabius jane-dulo john-dennis jan-bradley carlos-romero-2 pat-houtchens joyce-williams erica-hagen beverly-gill suesie-eejima cheri-howell kathy-silva jennifer-king-1 marion-charles molly-dodd-2 gwen-farrell bern-hoffman robert-ito nora-marlowe-1 ida-mae-mckenzie richard-sterne jeff-winkless
spaceballs,mel-brooks,mel-brooks rick-moranis bill-pullman daphne-zuniga john-candy george-wyner joan-rivers dick-van-patten michael-winslow lorene-yarnell-jansson john-hurt ed-gale stephen-tobolowsky sandy-helberg dom-deluise phil-hartman tress-macneille-1 corey-burton michael-york rick-ducommun rudy-de-luca ken-olfson denise-gallup dian-gallup jim-jackman jim-j-bullock sal-viscuso ronny-graham
space-jam,joe-pytka,michael-jordan wayne-knight billy-west-1 dee-bradley-baker theresa-randle danny-devito brandon-hammond larry-bird bill-murray charles-barkley-1 patrick-ewing tyrone-bogues larry-johnson shawn-bradley ahmad-rashad del-harris vlade-divac cedric-ceballos jim-rome-1 paul-westphal danny-ainge alonzo-mourning ac-green charles-oakley derek-harper jeff-malone anthony-miller sharone-wright dan-castellaneta bob-bergen bill-farmer june-foray kath-soucie maurice-lamarche frank-welker jocelyn-blue charity-james june-melby catherine-reitman colleen-wainwright dorian-harewood joey-camen t-k-carter darnell-suttles steve-kehela thom-barry
spanglish,james-l-brooks,adam-sandler tea-leoni paz-vega cloris-leachman shelbie-bruce sarah-steele ian-hyland cecilia-suarez sarah-hyland spencer-locke liz-carey victoria-luna ricardo-molina brenda-canela
spartacus,stanley-kubrick,kirk-douglas laurence-olivier jean-simmons charles-laughton peter-ustinov john-gavin nina-foch john-ireland herbert-lom john-dall woody-strode harold-j-stone charles-mcgraw joanna-barnes peter-brocco paul-lambert robert-j-wilke nick-dennis john-hoyt frederick-worlock tony-curtis paul-baxley louie-elias brad-harris hubie-kerns gordon-mitchell regis-parton-1 victor-paul jack-perkins wally-rose aaron-saxon tom-steele jerry-summers shari-lee-bernath bill-blackburn-1 david-bond-1 polly-burson carol-daniels lila-finn harold-goodwin sol-gorss betty-harford harry-harvey-jr wayne-heffley lars-hensen charles-horvath shep-houghton pete-kellett joan-mckellen eddie-parker gil-perkins-1 chuck-roberson frosty-royce autumn-russell kay-stewart helen-thurston louise-vincent joe-canutt bill-catching chuck-courtney chuck-hayward robert-f-hoy valley-keene george-kennedy cliff-lyons bill-raisch buddy-van-horn jack-williams paul-e-burns wayne-burson dick-crockett john-daheim carey-loftin harvey-parry ronnie-rondell-jr don-turner peter-virgo fred-zendar ted-de-corsia terence-de-marney johnny-duncan roy-engel paul-keast kenner-g-kemp paul-kruger otto-malde scott-seaton richard-farnsworth logan-field john-stephenson robert-fuller jeanne-gerson seamon-glass preston-peterson george-robotham james-griffith jack-grinnage anthony-jochim joe-haworth vinton-hayworth loren-janes jil-jarmyn aron-kincaid dayton-lummis bob-morgan tracy-olsen leonard-penn vic-perrin larry-thor dale-van-sickel carleton-young duke-fishman robert-stevenson-3 john-barton-2 jerry-brown-1 john-benson-1 anthony-hopkins
spider-man,sam-raimi,tobey-maguire willem-dafoe kirsten-dunst james-franco rosemary-harris jk-simmons cliff-robertson joe-manganiello bill-nunn-1 michael-papajohn elizabeth-banks ron-perkins randy-savage octavia-spencer lucy-lawless bruce-campbell ted-raimi stan-lee macy-gray johnny-tri-nguyen robert-kerman gerry-becker k-k-dodds jack-betts stanley-anderson shan-omar-huey john-paxton jayce-bartok sara-ramirez una-damon larry-joshua timothy-patrick-quill jason-padgett evan-arnold jill-sayre brad-grunberg myk-watford sylva-kelegian peter-appel joseph-donofrio jim-norton tim-dezarn-1 corey-mendell-parker ashley-edner alex-black rick-avery peter-aylward jillian-clare-1 chris-coppola jesse-heiman leroy-patterson benny-urquidez scott-l-schwartz jophery-c-brown brian-j-williams jim-ward-1 taylor-gilbert deborah-wakeham bill-calvert kristen-marie-holly ajay-mehta scott-spiegel mark-de-alessandro tia-dionne-hodge loren-janes andray-johnson martin-pfefferkorn tammi-sutton lindsay-thompson sean-valla philip-ng pete-macnamara joy-michelle-moore
spider-man-2,sam-raimi,tobey-maguire kirsten-dunst james-franco alfred-molina rosemary-harris donna-murphy jk-simmons daniel-gillies dylan-baker willem-dafoe mageina-tovah bruce-campbell stan-lee scott-spiegel joel-mchale hal-sparks donnell-rawlings emily-deschanel elizabeth-banks daniel-dae-kim aasif-mandvi joey-diaz vanessa-ferlito joy-bryant john-landis phil-lamarr gregg-edelman ted-raimi cliff-robertson elya-baskin bill-nunn-1 brent-briscoe christine-estabrook john-paxton joanne-baron peter-mcrobbie louis-lombardi marc-john-jefferies reed-diamond brendan-patrick-connor dan-callahan susie-park-1 brianna-brown tom-carey dan-hicks timothy-patrick-quill tony-campisi molly-cheek kelly-connell roshon-fegan taylor-gilbert timothy-jerome elyse-dinh bill-e-rogers anne-betancourt tricia-peters tim-storms bill-calvert peter-allas chloe-dykstra julia-max jill-sayre calvin-dean-2 frank-bonsangue andre-m-johnson peter-cincotti peyton-list-2 spencer-list troy-metcalf scott-ross bonnie-somerville wesley-volcy lou-volpe david-boston garrett-warren michael-arthur cindy-cheung andy-bale
spies-like-us,john-landis,chevy-chase dan-aykroyd steve-forrest donna-dixon bruce-davison-1 terry-gilliam frank-oz vanessa-angel bernie-casey charles-mckeown william-prince-1 bob-hope joel-coen sam-raimi martin-brest-1 tom-hatten james-daughton jim-staahl bjarne-thomsen sergei-rusakov costa-gavras-1 seva-novgorodtsev stephen-hoye ray-harryhausen mark-stewart-3 sean-daniel jeff-harding heidi-sorenson margo-random douglas-lambert christopher-malcolm terrance-conder matt-frewer tony-cyrus gusti-bogok derek-meddings robert-paynter gurdial-sira michael-apted bb-king larry-cohen ricco-ross richard-d-sharp stuart-milligan sally-anlauf john-daveikis laurence-bilzerian richard-kruk heather-henson-1 erin-folsey bob-swaim nancy-gair guy-standeven
spotlight,tom-mccarthy-2,mark-ruffalo michael-keaton rachel-mcadams liev-schreiber john-slattery-1 stanley-tucci brian-darcy-james gene-amoroso billy-crudup maureen-keiller paul-guilfoyle-1 len-cariou neal-huff michael-cyril-creighton laurie-heineman tim-progosh elena-wohl doug-murray sharon-mcfarlane jamey-sheridan robert-b-kennedy duane-murray brian-chamberlain michael-countryman tim-whalen-1 brad-borbridge don-allison-1 patty-ross paloma-nunez robert-clarke-2 gary-galone david-fraser paulette-sinclair elena-juatco nancy-villone wendy-merry siobhan-murphy eileen-padua darrin-baker joe-stapleton jimmy-leblanc-1 neion-george laurie-murdoch zarrin-darnell-martin krista-morin paula-barrett mairtin-ocarrigan rob-de-leeuw nancy-e-carroll anthony-paolucci michele-proude richard-orourke dennis-lynch stefanie-drummond mark-mcgrinder richard-fitzpatrick tom-driscoll-1 jeffrey-samai moira-driscoll forrest-weber doreen-spencer janet-pinnick shannon-mcdonough-1 shannon-ruth daniel-ruth jennifer-ruth timothy-mooney bruce-robert-serafin donna-sue-jahier edward-brickley brett-cramp richard-jenkins john-franchi martin-roach elena-khan
the-squid-and-the-whale,noah-baumbach,jeff-daniels laura-linney jesse-eisenberg owen-kline william-baldwin-1 anna-paquin david-benger elizabeth-meriwether alexandra-daddario halley-feiffer molly-barton bo-berkman matthew-kaplan-1 simon-kaplan matthew-kirsch daniella-markowicz ben-schrank amy-srebnick josh-srebnick emma-straub alan-wilkis james-hamilton adam-rose-1 henry-glovinsky eli-gelb wayne-lawson michael-santiago juan-torriente patricia-towers peggy-gormley greta-kline melissa-meyer benjamin-smolen michael-countryman nico-baumbach maryann-plunkett hector-otero ken-leung jo-yang andrew-kaempfer bobby-shue
stardust-memories,woody-allen,woody-allen charlotte-rampling jessica-harper marie-christine-barrault tony-roberts daniel-stern amy-wright-1 helen-hanft-1 john-rothman-2 sharon-stone eli-mintz gabriel-barre judith-roberts
stargate,roland-emmerich,kurt-russell james-spader jaye-davidson viveca-lindfors alexis-cruz mili-avital leon-rippy john-diehl french-stewart carlos-lauchu djimon-hounsou erick-avari derek-webster christopher-john-fields gianin-loffler frank-welker rae-allen richard-kind jack-moore steve-giannelli david-pressman scott-alan-smith cecil-hoffman john-storey lee-taylor-allan george-gray-5 kelly-vint-castro erik-holland-1 nick-wilder-1 sayed-badreya michael-concepcion jerry-gilmore michel-jean-philippe dialy-ndaiye gladys-holland roger-til kenneth-danziger christopher-west-1 robert-ackerman kairon-john dax-biagas
a-star-is-born-2018,bradley-cooper,bradley-cooper lady-gaga sam-elliott andrew-dice-clay rafi-gavron anthony-ramos dave-chappelle marlon-williams brandi-carlile ron-rifkin barry-shabaka-henley michael-d-roberts michael-harney-2 rebecca-field willam-belli greg-grunberg dj-shangela-pierce eddie-griffin drena-de-niro jacob-schick gabe-fazio luenell lukas-nelson anthony-logerfo corey-mccormick logan-metz tato-melgar don-roy-king-1 halsey-1 alec-baldwin
starsky-hutch,todd-phillips,ben-stiller owen-wilson snoop-dogg fred-williamson-2 vince-vaughn juliette-lewis jason-bateman amy-smart carmen-electra george-cheung chris-penn brande-roderick molly-sims matt-walsh-1 gt-holme jeffrey-lorenzo har-mar-superstar patton-oswalt brigette-romanek paul-michael-glaser david-soul dan-finnerty jernard-burks omar-j-dorsey pramod-kumar rod-tate richard-edson raymond-ma terry-crews richie-nathanson david-pressman scott-l-schwartz judah-friedlander akerin-suksawat-premwattana amber-mead don-magic-juan darlena-tejeiro harry-oreilly tangie-ambrose sara-swain delores-gilbeaux kimberly-brickland minnie-lagrimas rachael-harris david-burton-4 larry-chang ton-suckhasem henry-t-yamada charles-edward-townsend nancy-anderson-1 jason-yribar tyce-diorio katie-pantenburg timothy-anderson kimberly-wyatt kristyn-abbadini kevin-stea adrian-armas gabriel-paige tara-wilson-1 brittany-perry-russell tanee-mccall nadine-ellis chad-azadan jason-beitel brandon-henschel mark-meismer matt-sergott lisa-joann-thompson christian-vincent-1 natalie-willes stacey-harper gelsey-weiss tasha-tae becca-sweitzer jennifer-hamilton vanessa-tarazona janina-garraway kadee-sweeney melanie-lewis megan-stephens michon-suyama tomasina-parrott will-ferrell kathleen-lague
star-trek-ii-the-wrath-of-khan,nicholas-meyer,william-shatner leonard-nimoy deforest-kelley ricardo-montalban kirstie-alley bibi-besch merritt-butrick walter-koenig james-doohan nichelle-nichols george-takei paul-winfield judson-scott ike-eisenmann john-vargas john-winston paul-kent
star-wars-the-force-awakens,jj-abrams,harrison-ford mark-hamill carrie-fisher adam-driver daisy-ridley john-boyega oscar-isaac-1 lupita-nyongo andy-serkis domhnall-gleeson anthony-daniels max-von-sydow peter-mayhew gwendoline-christie joonas-suotamo pip-andersen simon-pegg kiran-shah sasha-frost pip-torrens andrew-jack rocky-marshall-1 greg-grunberg emun-elliott brian-vernel yayan-ruhian sebastian-armesto maisie-richardson-sellers warwick-davis cailey-fleming mark-stanley ken-leung iko-uwais anna-brewster harriet-walter tim-rose erik-bauersfeld mike-quinn bill-kipsang-rotich michael-giacchino nigel-godrich judah-friedlander victor-mcguire miltos-yerolemou billie-lourd leanne-best crystal-clarke jeffery-kissoon claudia-sermbezis jim-mcgrath-1 philicia-saunders morgan-dameron jessica-henwick tosin-cole james-mcardle stefan-grube dixie-arnold hannah-john-kamen kate-fleetwood thomas-brodie-sangster-1 brian-herring dave-chapman-1 bill-hader ben-schwartz kenny-baker jimmy-vee cecep-arif-rahman ian-whyte daniel-craig ewan-mcgregor frank-oz alec-guinness gerald-w-abrams christina-chong kevin-smith dee-bradley-baker matt-lanter tom-kane catherine-taber matthew-wood samuel-witwer meredith-salenger james-arnold-taylor dave-filoni michael-donovan-2 devon-libran elle-newlands terri-douglas robert-stambler verona-blue tj-falls michelle-rejwan eugene-byrd fred-tatasciore david-collins amanda-foreman-1 christopher-scarabosio patrick-correll karen-huie orly-schuchmacher emily-towers jonathan-dixon-1 katie-sheridan mark-dodson christian-simpson liang-yang david-acord saara-forsberg jamie-b-chambers david-m-santana
step-brothers,adam-mckay,will-ferrell c-3 mary-steenburgen richard-jenkins adam-scott kathryn-hahn andrea-savage lurie-poston elizabeth-yozamp logan-manus travis-t-flory lili-rose-mckay shira-piven seth-morris wayne-federman maria-quiban danielle-schneider-2 gillian-vigman brian-huskey adam-mckay seth-rogen chris-henchy mary-catherine-hamelin ian-roberts-2 erica-vittina-phillips phil-lamarr rob-riggle ken-jeong horatio-sanz kyle-felts jake-szymanski matt-walsh-1 krystal-ellsworth dmitri-schuyler-linch bryce-hurless brent-white
the-stepford-wives-2004,frank-oz,nicole-kidman matthew-broderick bette-midler glenn-close christopher-walken roger-bart david-marshall-grant jon-lovitz matt-malloy kate-shindle fallon-brooking robert-stanton faith-hill dylan-hartigan tom-riis-farrell christopher-evan-welch lorri-bagley lisa-masters jason-kravits colleen-dunn andrea-anders-1 kadee-strickland mike-white-1 larry-king meredith-vieira billy-bush
stepmom,chris-columbus,julia-roberts susan-sarandon ed-harris jena-malone liam-aiken jason-maves naama-kates andre-b-blake mary-louise-wilson mak-gilchrist
stevie-ray-vaughan-and-double-trouble-live-at-the-el-mocambo,dennis-saunders,stevie-ray-vaughan chris-layton tommy-shannon
the-sting,george-roy-hill,paul-newman robert-redford robert-shaw charles-durning ray-walston eileen-brennan harold-gould john-heffernan dana-elcar jack-kehoe dimitra-arliss-1 robert-earl-jones james-sloyan charles-dierkop lee-paul sally-kirkland avon-long-3 arch-johnson ed-bakey brad-sullivan john-quade larry-d-mann leonard-barr paulene-myers joe-tornatore jack-collins-1 tom-spratley kenneth-obrien ken-sansom ta-tanisha william-benedict robert-brubaker kathleen-freeman susan-french bruce-kimball alexander-lockwood chuck-morrell byron-morrow pearl-shear arthur-tovey guy-way
stormy-monday,mike-figgis,melanie-griffith tommy-lee-jones sting sean-bean james-cosmo mark-long-1 brian-lewis-3 scott-hoxby andrzej-borkowski prunella-gee heathcote-williams alison-steadman peter-marshall-2 dorota-zieciowska caroline-hutchison roderic-leigh dulice-liecier al-matthews ying-tong-john mick-hamer nicholas-lumley cy-benson louise-hobkinson bill-fellows fiona-sloman tony-bluto czeslaw-grocholski catherine-chevalier brendan-p-healy richard-hawley-1 elizabeth-m-mason
strange-brew,rick-moranis dave-thomas,dave-thomas rick-moranis max-von-sydow paul-dooley lynne-griffin angus-macinnes roger-dunn-1 tom-harvey mel-blanc len-doncheff
the-stranger,orson-welles-1,edward-g-robinson loretta-young orson-welles-1 philip-merivale richard-long konstantin-shayne byron-keith billy-house martha-wentworth erskine-sanford brother-theodore david-bond-3 neal-dodd ethan-laidlaw isabel-omadigan johnny-sands pietro-sosso
stranger-than-fiction-2006,marc-forster,will-ferrell maggie-gyllenhaal dustin-hoffman emma-thompson queen-latifah ricky-adams denise-hughes christian-stolte tony-hale-1 peggy-roeder william-dick guy-massey martha-espinoza tj-jagodowski peter-grosz tonray-ho danny-rhodes linara-washington helen-young-1 david-pompeii david-wiegers jarrett-sleeper larry-neumann-jr john-mohrlein tom-hulce bruce-jarchow linda-hunt kristin-chenoweth keith-kupferer-1 danny-mccarthy tab-baker bryan-kelly-1 whitney-sneed celeste-pechous christian-young ray-kurut michael-cook cheryl-lynn-bruce ora-jones will-clinger frank-caeti-1 andrew-rothenberg bob-papenbrook nathan-adloff-1 edy-cullen tim-krueger eli-goodman sia-a-moody
stripes,ivan-reitman,bill-murray harold-ramis warren-oates pj-soles sean-young john-candy john-larroquette john-voldstad john-diehl lance-legault roberta-leighton conrad-dunn judge-reinhold antone-pagan nick-toth bill-paxton joe-flaherty linda-dupree susan-meschner dennis-quaid timothy-busfield
castle-in-the-sky,hayao-miyazaki,keiko-yokozawa mayumi-tanaka minori-terada kotoe-hatsui fujio-tokita ichiro-nagai hiroshi-ito machiko-washio takumi-kamiyama yoshito-yasuhara sukekiyo-kameyama eken-mine tarako masashi-sugawara reiko-suzuki toshihiko-seki hochu-otsuka megumi-hayashibara tomomichi-nishimura-1
grave-of-the-fireflies,isao-takahata-1,tsutomu-tatsumi ayano-shiraishi yoshiko-shinohara akemi-yamaguchi-1
whisper-of-the-heart,yoshifumi-kondou,yoko-honna issey-takahashi takashi-tachibana shigeru-muroi shigeru-tsuyuguchi keiju-kobayashi yorie-yamashita maiko-kayama yoshimi-nakajima minami-takayama mayumi-iizuka mai-chiba satoru-takahashi akiko-sakaguchi hiromi-yasuda tatsuya-okada yoshihiro-imai naohisa-inoue suguru-egawa shiro-kishibe mitsuaki-ogawa toshio-suzuki
princess-mononoke,hayao-miyazaki,yoji-matsuda yuriko-ishida yuko-tanaka kaoru-kobayashi masahiko-nishimura tsunehiko-kamijo sumi-shimamoto tetsu-watanabe mitsuru-sato akira-nagoya akihiro-miwa mitsuko-mori hisaya-morishige takako-fuji
my-neighbor-totoro,hayao-miyazaki,noriko-hidaka hitoshi-takagi chika-sakamoto shigesato-itoi sumi-shimamoto tanie-kitabayashi masashi-hirose yuko-maruyama shigeru-chiba toshiyuki-amagasa
nausicaa-of-the-valley-of-the-wind,hayao-miyazaki,sumi-shimamoto ichiro-nagai goro-naya-1 yoji-matsuda yoshiko-sakakibara iemasa-kayumi hisako-kyouda-1 mahito-tsujimura mina-tominaga kohei-miyauchi joji-yanami-1 minoru-yada rihoko-yoshida tetsuo-mizutori masako-sugaya takako-sasuga chika-sakamoto tarako mugihito akiko-tsuboi takeki-nakamura takako-ota bin-shimada shinji-nomura hisako-ayuhara hochu-otsuka
kikis-delivery-service,hayao-miyazaki,minami-takayama rei-sakuma kappei-yamaguchi keiko-toda mieko-nobusawa koichi-miura haruko-kato hiroko-seki yuriko-fuchizaki kouichi-yamadera kikuko-inoue yuuko-kobayashi mika-doi takaya-hashi chika-sakamoto toshiko-asai hiroko-maruyama shinpachi-tsuji yuko-maruyama masa-saito yuko-tsuga tomomichi-nishimura-1 akio-otsuka-1 yoshiko-kamei-1
porco-rosso,hayao-miyazaki,shuichiro-moriyama tokiko-kato sanshi-katsura tsunehiko-kamijo akemi-okamura hiroko-seki mahito-tsujimura minoru-yada osamu-saka akio-otsuka-1
the-cat-returns,hiroyuki-morita,chizuru-ikewaki yoshihiko-hakamada aki-maeda takayuki-yamada hitomi-sato-1 kenta-satoi mari-hamada tetsu-watanabe yosuke-saito kumiko-okae tetsuro-tamba yo-oizumi-1 yoko-honna ken-yasuda
howls-moving-castle,hayao-miyazaki,chieko-baisho takuya-kimura akihiro-miwa tatsuya-gashuin ryunosuke-kamiki-2 haruko-kato yayoi-kazuki mayuno-yasokawa yo-oizumi-1 rio-kanno akio-otsuka-1 daijiro-harada
tales-from-earthsea,goro-miyazaki,junichi-okada aoi-teshima bunta-sugawara-1 yuko-tanaka teruyuki-kagawa jun-fubuki takashi-naito mitsuko-baisho-1 yui-natsukawa kaoru-kobayashi
spirited-away,hayao-miyazaki,rumi-hiiragi miyu-irino mari-natsuki bunta-sugawara-1 yumi-tamai ryunosuke-kamiki-2 takashi-naito yasuko-sawaguchi tatsuya-gashuin yo-oizumi-1 koba-hayashi tsunehiko-kamijo takehiko-ono akio-nakamura ken-yasuda
ponyo,hayao-miyazaki,yuria-nara hiroki-doi george-tokoro tomoko-yamaguchi yuki-amami kazushige-nagashima akiko-yano shinichi-hatori tokie-hidari eimi-hiraoka rumi-hiiragi tomoko-naraoka nozomi-ohashi kazuko-yoshiyuki
my-neighbors-the-yamadas,isao-takahata-1,hayato-isohata masako-araki naomi-uno toru-masuoka yukiji-asaoka akiko-yano kosanji-yanagiya tamao-nakamura chocho-miyako
pom-poko,isao-takahata-1,shinchou-kokontei makoto-nonomura nijiko-kiyokawa shigeru-izumiya kosan-yanagiya norihei-miki yuriko-ishida akira-kamiya takehiro-murata bunshi-katsura gannosuke-ashiya beichou-katsura yumi-ichihara akira-fukuzawa kobuhei-hayashiya shiho-nagai osamu-kato
the-secret-world-of-arrietty,hiromasa-yonebayashi,mirai-shida ryunosuke-kamiki-2 tomokazu-miura keiko-takeshita kirin-kiki shinobu-otake-1 tatsuya-fujiwara
sunshine-2007,danny-boyle,cillian-murphy rose-byrne chris-evans michelle-yeoh cliff-curtis hiroyuki-sanada troy-garity benedict-wong mark-strong chipo-chung paloma-baeza archie-macdonald sylvie-macdonald
super-2010,james-gunn,rainn-wilson ellen-page liv-tyler kevin-bacon gregg-henry michael-rooker-1 andre-royo sean-gunn stephen-blackehart don-mac linda-cardellini nathan-fillion gerardo-davila grant-goodman paul-t-taylor connor-day james-gunn mikaela-hoover nick-holmes-3 matt-moore-1 rob-zombie steve-agee laurel-whitsett james-lentzsch nate-rubin edrick-browne-1 danny-cosmo krystal-mayo russell-towery mario-jiminez-jr jonathan-winkler mollie-milligan gerry-may valentine-miele michelle-gunn darcel-white-moreno greg-ingram-1 lindsey-soileau brandon-belknap zach-gilford lloyd-kaufman tim-j-smith mark-dealessandro cole-s-mckay-1 dominick-labanca john-w-lawson william-katt christine-bently
superbad,greg-mottola,jonah-hill michael-cera christopher-mintz-plasse bill-hader seth-rogen martha-macisaac emma-stone aviva-baumann joe-lo-truglio kevin-corrigan clement-blake erica-vittina-phillips joe-nunez dave-franco marcella-lentz-pope scott-gerbacia laura-seay roger-iwami clint-mabry stacy-edwards mark-rogen charlie-hartsock dona-hardy charley-rossman carla-gallo ben-best jody-hill kevin-breznahan david-krumholtz mousa-kraish nicholas-jasenovec martin-starr keith-loneker matthew-mckane lauren-miller peter-salett rakefet-abergel brooke-dillman michael-naughton steve-bannos casey-margolis laura-marano matthew-bass aurora-snow jenna-haze ted-haigh michael-fennessey brian-huskey clark-duke stephen-borrello-iv naathan-phan pamella-dpella danny-mcbride cortney-palm
super-troopers,jay-chandrasekhar,jay-chandrasekhar steve-lemme kevin-heffernan paul-soter brian-cox-2 erik-stolhanske marisa-coughlan lynda-carter joey-kern geoffrey-arend jimmy-noonan philippe-brenninkmeyer blanchard-ryan maria-tornberg aria-alpert-adjani charlie-finn daniel-von-bargen michael-weaver-3 jim-gaffigan john-bedford-lloyd andre-vippolis james-grace dan-fey amy-de-lucia tracy-tobin christian-albrizio
